Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement,q_conv,q_papago,q_ko,group_nums_ko
Carolyn starts with number0 marbles and number1 oranges . She shares number2 with Diana . How many marbles does Carolyn end with ?,47.0 6.0 42.0,- number0 number2,5.0,"[2, 3, 4, 5, 6, 7, 10, 11, 12, 19, 20, 21]",Carolyn starts with number0 marbles and number1 oranges . She shares number2 with Diana .,How many marbles does Carolyn end with ?,Anderson starts with 3730 marbles and 3731 oranges . She shares 3732 with Cyndia . How many marbles does Anderson end with ?,앤더슨은 3730개의 구슬과 3731개의 오렌지로 시작한다. 그녀는 신디아와 3732를 공유한다. 앤더슨은 몇 개의 구슬로 끝납니까?,지현은 number0개의 구슬과 number1개의 오렌지로 시작한다 . 그녀는 서희와 number2를 공유한다 . 지현은 몇 개의 구슬로 끝납니까 ?,"[0, 1, 2, 3, 4, 8, 9, 10, 14, 15, 16]"
"number0 evening , a restaurant served a total of number1 loaf of wheat bread and number2 loaf of white bread . How many loaves were served in all ?",1.0 0.2 0.4,+ number1 number2,0.6,"[0, 1, 8, 9, 10, 14, 15, 16, 25, 26, 27]","number0 evening , a restaurant served a total of number1 loaf of wheat bread and number2 loaf of white bread .",How many loaves were served in all ?,"3730 evening , a restaurant served a total of 3731 loaf of wheat bread and 3732 loaf of white bread . How many loaves were served in all ?","3730 저녁, 한 레스토랑은 3731 조각의 밀빵과 3732 조각의 흰빵을 제공했습니다. 모두 몇 개의 빵이 제공되었습니까?","number0 저녁 , 한 레스토랑은 number1 조각의 밀빵과 number2 조각의 흰빵을 제공했습니다 . 모두 몇 개의 빵이 제공되었습니까 ?","[0, 1, 4, 5, 6, 7, 8, 9, 15, 16, 17]"
"Janet was playing a video game and had number0 lives . In a hard part of the game she lost number1 lives . If she got number2 more lives in the next level , how many lives would she have ?",47.0 23.0 46.0,- + number0 number2 number1,70.0,"[7, 8, 9, 19, 20, 21, 25, 26, 27, 37, 38, 39]","Janet was playing a video game and had number0 lives . In a hard part of the game she lost number1 lives . If she got number2 more lives in the next level ,",how many lives would she have ?,"Anderson was playing a video game and had 3730 lives . In a hard part of the game she lost 3731 lives . If she got 3732 more lives in the next level , how many lives would she have ?","앤더슨은 비디오 게임을 하고 있었고 3730명의 삶을 살았다. 게임의 힘든 부분에서 그녀는 3731명의 목숨을 잃었다. 만약 그녀가 다음 단계에서 3732명의 더 많은 생명을 얻었다면, 그녀는 얼마나 많은 생명을 가질 것인가?","유나는 비디오 게임을 하고 있었고 number0명의 삶을 살았다 . 게임의 힘든 부분에서 그녀는 number1명의 목숨을 잃었다 . 만약 그녀가 다음 단계에서 number2명의 더 많은 생명을 얻었다면 , 그녀는 얼마나 많은 생명을 가질 것인가 ?","[4, 5, 6, 12, 13, 14, 20, 21, 22, 30, 31, 32]"
"On a hot day , Sam poured number0 bucket of water into a plastic wading pool . A few minutes later he added another number1 buckets . How much water did Sam pour into the pool ?",1.0 8.8,+ number0 number1,9.8,"[6, 7, 8, 23, 24, 25, 33, 34, 35]","On a hot day , Sam poured number0 bucket of water into a plastic wading pool . A few minutes later he added another number1 buckets .",How much water did Sam pour into the pool ?,"On a hot day , Anderson poured 3730 bucket of water into a plastic wading pool . A few minutes later he added another 3731 buckets . How much water did Anderson pour into the pool ?","더운 날, 앤더슨은 플라스틱 물 건너기 풀장안에 3730 버킷의 물을 부었습니다. 몇 분 후에 그는 또다른 3731 버킷을 추가하였습니다. 앤더슨은 수영장에 얼마나 많은 물을 부었습니까?","더운 날 , 서희는 플라스틱 물 건너기 풀장안에 number0 버킷의 물을 부었습니다 . 몇 분 후에 그는 또다른 number1 버킷을 추가하였습니다 . 서희는 수영장에 얼마나 많은 물을 부었습니까 ?","[7, 8, 9, 17, 18, 19, 25, 26, 27]"
Clarence has number0 tickets . He gives number1 to Eugene . How many tickets will Clarence have ?,99.0 7.0,- number0 number1,92.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",Clarence has number0 tickets . He gives number1 to Eugene .,How many tickets will Clarence have ?,Anderson has 3730 tickets . He gives 3731 to Cyndia . How many tickets will Anderson have ?,앤더슨은 3730장의 티켓을 가지고 있다. 그는 3731을 신디아에게 준다. 앤더슨은 표를 몇 장 가질 예정입니까?,유나는 number0장의 티켓을 가지고 있다 . 그는 number1을 정현에게 준다 . 유나는 표를 몇 장 가질 예정입니까 ?,"[0, 1, 2, 6, 7, 8, 14, 15, 16]"
"Paige had number0 songs on her mp3 player . If she deleted number1 old songs from it and then added number2 new songs , how many songs does she have on her mp3 player ?",8.0 5.0 30.0,- + number0 number2 number1,33.0,"[1, 2, 3, 11, 12, 13, 19, 20, 21, 31, 32, 33]","Paige had number0 songs on her mp3 player . If she deleted number1 old songs from it and then added number2 new songs ,",how many songs does she have on her mp3 player ?,"Anderson had 3730 songs on her mp3 player . If she deleted 3731 old songs from it and then added 3732 new songs , how many songs does she have on her mp3 player ?","앤더슨은 그녀의 mp3플레이어에 3730개의 노래를 가지고 있었다. 만약 그녀가 그것으로부터 3731개의 오래된 노래를 삭제하고 3732개의 새로운 노래를 추가한다면, 그녀는 그녀의 mp3플레이어에 얼마나 많은 노래를 가지고 있는가?","지현은 그녀의 mp3플레이어에 number0개의 노래를 가지고 있었다 . 만약 그녀가 그것으로부터 number1개의 오래된 노래를 삭제하고 number2개의 새로운 노래를 추가한다면 , 그녀는 그녀의 mp3플레이어에 얼마나 많은 노래를 가지고 있는가 ?","[2, 3, 4, 10, 11, 12, 14, 15, 16, 25, 26, 27]"
"A waiter had number0 tables he was waiting on , with number1 women and number2 men at each table . How many customers total did the waiter have ?",9.0 4.0 3.0,* number0 + number1 number2,63.0,"[2, 3, 4, 10, 11, 12, 13, 14, 15, 25, 26, 27]","A waiter had number0 tables he was waiting on , with number1 women and number2 men at each table .",How many customers total did the waiter have ?,"A waiter had 3730 tables he was waiting on , with 3731 women and 3732 men at each table . How many customers total did the waiter have ?",웨이터는 3731명의 여자들과 3732명의 남자들과 함께 그가 기다리고 있는 3730개의 테이블을 가지고 있었습니다. 웨이터는 총 몇 명의 손님이 있었습니까?,웨이터는 number1명의 여자들과 number2명의 남자들과 함께 그가 기다리고 있는 number0개의 테이블을 가지고 있었습니다 . 웨이터는 총 몇 명의 손님이 있었습니까 ?,"[0, 1, 2, 3, 4, 8, 9, 10, 17, 18, 19]"
"Gloria has number0 pencils . Lisa has number1 pencils . If Lisa gives all of her pencils to Gloria , how many pencils will Gloria have ?",2.0 99.0,+ number0 number1,101.0,"[1, 2, 3, 6, 7, 8, 23, 24, 25]","Gloria has number0 pencils . Lisa has number1 pencils . If Lisa gives all of her pencils to Gloria ,",how many pencils will Gloria have ?,"Anderson has 3730 pencils . Cyndia has 3731 pencils . If Cyndia gives all of her pencils to Anderson , how many pencils will Anderson have ?","앤더슨은 3730개의 연필을 가지고 있다. 신디아는 3731개의 연필을 가지고 있다. 만약 신디아가 그녀의 모든 연필을 앤더슨에게 준다면, 앤더슨은 얼마나 많은 연필을 가지고 있을까?","서희는 number0개의 연필을 가지고 있다 . 유나는 number1개의 연필을 가지고 있다 . 만약 유나가 그녀의 모든 연필을 서희에게 준다면 , 서희는 얼마나 많은 연필을 가지고 있을까 ?","[0, 1, 2, 6, 7, 8, 23, 24, 25]"
A recipe calls for number0 cup of diced green pepper . Give the number of cups of diced green pepper that should be used to make number1 of this recipe .,0.6667 0.5,* number0 number1,0.3333,"[3, 4, 5, 25, 26, 27, 27, 28, 29]",A recipe calls for number0 cup of diced green pepper .,Give the number of cups of diced green pepper that should be used to make number1 of this recipe .,A recipe calls for 3730 cup of diced green pepper . Give the number of cups of diced green pepper that should be used to make 3731 of this recipe .,조리법은 3730컵의 다진 풋고추를 요구한다. 이 조리법의 3731컵을 만드는데 사용되어야 할 다진 풋고추의 컵의 수를 주어라.,조리법은 number0컵의 다진 풋고추를 요구한다 . 이 조리법의 number1컵을 만드는데 사용되어야 할 다진 풋고추의 컵의 수를 주어라 .,"[0, 1, 2, 7, 8, 9, 14, 15, 16]"
Omar and Karen made egg rolls to share at the school potluck . Omar rolled number0 egg rolls . Karen rolled number1 egg rolls . What is the total number of egg rolls Omar and Karen rolled ?,219.0 229.0,+ number0 number1,448.0,"[14, 15, 16, 20, 21, 22, 36, 37, 38]",Omar and Karen made egg rolls to share at the school potluck . Omar rolled number0 egg rolls . Karen rolled number1 egg rolls .,What is the total number of egg rolls Omar and Karen rolled ?,Anderson and Cyndia made egg rolls to share at the school potluck . Anderson rolled 3730 egg rolls . Cyndia rolled 3731 egg rolls . What is the total number of egg rolls Anderson and Cyndia rolled ?,앤더슨과 신디아는 학교 포트럭에서 나눠 먹을 계란말이들을 만들었다. 앤더슨은 3730개의 계란말이들을 굴렸다. 신디아는 3731개의 계란말이들을 굴렸다. 앤더슨과 신디아는 계란말이 총 몇 개입니까?,윤재와 정현은 학교 포트럭에서 나눠 먹을 계란말이들을 만들었다 . 윤재는 number0개의 계란말이들을 굴렸다 . 정현은 number1개의 계란말이들을 굴렸다 . 윤재와 정현은 계란말이 총 몇 개입니까 ?,"[9, 10, 11, 14, 15, 16, 22, 23, 24]"
Tom and his friend were buying trick decks from the magic shop for number0 dollars each . How much did they spend if Tom bought number1 decks and his friend bought number2 decks ?,8.0 3.0 5.0,* number0 + number1 number2,64.0,"[12, 13, 14, 24, 25, 26, 30, 31, 32, 30, 31, 32]",Tom and his friend were buying trick decks from the magic shop for number0 dollars each .,How much did they spend if Tom bought number1 decks and his friend bought number2 decks ?,Anderson and his friend were buying trick decks from the magic shop for 3730 dollars each . How much did they spend if Anderson bought 3731 decks and his friend bought 3732 decks ?,앤더슨과 그의 친구는 매직샵에서 3730달러에 트릭 덱을 구입하고 있었다. 앤더슨이 3731갑판을 사고 그의 친구가 3732갑판을 산다면 그들은 얼마를 썼을까?,지현과 그의 친구는 매직샵에서 number0달러에 트릭 덱을 구입하고 있었다 . 지현이 number1갑판을 사고 그의 친구가 number2갑판을 산다면 그들은 얼마를 썼을까 ?,"[3, 4, 5, 10, 11, 12, 14, 15, 16, 17, 18, 19]"
A restaurant served number0 pizzas during lunch and number1 during dinner today . How many pizzas were served today ?,9.0 6.0,+ number0 number1,15.0,"[2, 3, 4, 7, 8, 9, 16, 17, 18]",A restaurant served number0 pizzas during lunch and number1 during dinner today .,How many pizzas were served today ?,A restaurant served 3730 pizzas during lunch and 3731 during dinner today . How many pizzas were served today ?,한 레스토랑은 점심시간에 3730개의 피자를 제공했고 오늘 저녁에는 3731개의 피자를 제공했습니다. 오늘 얼마나 많은 피자가 나왔나요?,한 레스토랑은 점심시간에 number0개의 피자를 제공했고 오늘 저녁에는 number1개의 피자를 제공했습니다 . 오늘 얼마나 많은 피자가 나왔나요 ?,"[2, 3, 4, 7, 8, 9, 14, 15, 16]"
"Frank was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it , how many cans did he pick up total ?",5.0 3.0 5.0,* number0 + number0 number1,40.0,"[10, 11, 12, 18, 19, 20, 26, 27, 28, 37, 38, 39]","Frank was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it ,",how many cans did he pick up total ?,"Anderson was collecting cans for recycling . On Saturday he filled 3730 bags up and on Sunday he filled 3731 more bags . If each bag had 3732 cans in it , how many cans did he pick up total ?","앤더슨은 재활용을 위해 깡통을 모으고 있었다. 토요일 그는 3730개의 가방을 채웠고 일요일에는 3731개의 가방을 더 채웠다. 만약 각각의 가방이 3732개의 깡통을 가지고 있다면, 그는 총 몇개의 깡통을 집었는가?","지현은 재활용을 위해 깡통을 모으고 있었다 . 토요일 그는 number0개의 가방을 채웠고 일요일에는 number1개의 가방을 더 채웠다 . 만약 각각의 가방이 number2개의 깡통을 가지고 있다면 , 그는 총 몇개의 깡통을 집었는가 ?","[8, 9, 10, 12, 13, 14, 20, 21, 22, 28, 29, 30]"
